"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Minimum Quantity","Maximum Quantity","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default"
"1848b5b0-fa83-11eb-8f59-a3c793c5fa41","variable","ANSHU_006_S","Gray Ajrakh Handblock Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8"">
<p><span style=""color: #444444;"">For Size Guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a></span></p>
<p><span style=""color: #444444;"">This shirt's a charmer, it charmed the artist who made it with his own hands and the eyes that brought it here.</span></p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Charcoal Gray</span><br><span style=""color: #444444;"">Fit: Casual / Regular</span><br><span style=""color: #444444;"">Sleeve: Full Sleeve</span><br><span style=""color: #444444;"">Collar: Regular</span><br><span style=""color: #444444;"">Pattern: Brushed Ajrakh Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Ajrakhâ€™s name is derived from 'azarak' meaning 'blue' in Arabic. It finds it origin from the Sindh region in India and was introduced in the Mughal period. It is a block-printed textile that is made using natural dyes namely indigo (blue) and madder (red), though now many colors are used. Â An Ajrakh print is identified by its complex geometric and floral patterns. A remarkable feature of Ajrakh print is that on a single fabric, resist printing along with other printing and dyeing techniques are used in combination. The whole process is repeated on both sides of the fabric in perfect cohesion which calls for unsurpassed skill. Ajrakh uses mud-resist in the various stages and another unique feature is that the dyeing and printing is repeated twice on the fabric to ensure brilliance of colour. Superimposing the repeats is done perfectly thus revealing a sense of detail in every motif designed.</span></p>
<p>Fabric Care: Handwash Separately.Â Â </p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/1848b5b0-fa83-11eb-8f59-a3c793c5fa41/16286727024049.png","","","ANSHU_006_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"26","variation","ANSHU_006_S","Gray Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_006_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"27","variation","ANSHU_006_M","Gray Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_006_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"28","variation","ANSHU_006_L","Gray Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_006_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
"29","variation","ANSHU_006_XL","Gray Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_006_S","","","","","","","","","Size","XL","","0","","","","","","","","","","",""
"30","variation","ANSHU_006_XXL","Gray Ajrakh Handblock Shirt","1","","visible","","","","","taxable","parent","1","1000","","","","150","","","","","","799","1599","","","","","","","ANSHU_006_S","","","","","","","","","Size","2XL","","0","","","","","","","","","","",""
"18654b40-fa83-11eb-8d3d-f1b69cc84c45","variable","ANSHU_007_S","Kashish Handblock Kurta Shirt","1","","visible","","<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p>For Size Guide click <a href=""https://Pinstitch.in/pages/size-chart"">here</a></p>
<p>This easygoing cotton kurta shirt is a perfect mix of style and comfort.Â </p>
<p><span style=""color: #444444;"">Fabric: Cotton</span><br><span style=""color: #444444;"">Color: Earthen Brown</span><br><span style=""color: #444444;"">Fit: Regular</span><br><span style=""color: #444444;"">Sleeve: Full Sleeve</span><br><span style=""color: #444444;"">Collar: Mandarin</span><br><span style=""color: #444444;"">Pattern: Kashish Handblock</span><br><span style=""color: #444444;"">Buttons: WoodenÂ </span></p>
<p><strong>Know your Fabric</strong></p>
<p><span style=""font-weight: 400;"">Hand block printing is a 500 year old Indian art form that involves printing using a hand carved teak wood block that is dipped in dye and stamped by hand onto cotton or silk fabric. The block design is usually based on plants and nature, however newer quirky motif designs have also been used. The fabric to be block printed is first, laid flat on a table and fixed firmly to the table with pins. Four to five basic natural colors are used that are then mixed together to form a multitude of colors. The block is then dipped in the dye and stamped firmly by hand onto the fabric by master craftsmen. Finally, the fabric is rinsed and then dried. Since the block printing is done by hand, small variations in the print can be noticed which only adds to the charm of these handmade fabrics.Â </span></p>
<p><span style=""font-weight: 400;"">The uniqueness about Kashish fabric is the usage of earthy hues of brown and gray.Â </span></p>
<p><span style=""font-weight: 400;"">Fabric Care: Handwash separately.Â Â </span></p>","","","taxable","","1","","","","","150","","","","1","","","","","Most Popular","","http://shopify.test/storage/1/images/18654b40-fa83-11eb-8d3d-f1b69cc84c45/16286727026537.png","","","ANSHU_007_S","","","","","","","","","Size","S, M, L, XL, 2XL","1","0","S","","","","","","","","","",""
"31","variation","ANSHU_007_S","Kashish Handblock Kurta Shirt","1","","visible","","","","","taxable","parent","1","996","","","","150","","","","","","799","1599","","","","","","","ANSHU_007_S","","","","","","","","","Size","S","","0","","","","","","","","","","",""
"32","variation","ANSHU_007_M","Kashish Handblock Kurta Shirt","1","","visible","","","","","taxable","parent","1","999","","","","150","","","","","","799","1599","","","","","","","ANSHU_007_S","","","","","","","","","Size","M","","0","","","","","","","","","","",""
"33","variation","ANSHU_007_L","Kashish Handblock Kurta Shirt","1","","visible","","","","","taxable","parent","1","996","","","","150","","","","","","799","1599","","","","","","","ANSHU_007_S","","","","","","","","","Size","L","","0","","","","","","","","","","",""
